Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,477448,-,-,-,40.01,-105.26,0,1629,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,Cloud Fill Flag,GHI,Ozone,Relative Humidity,Wind Direction,Wind Speed,Pressure,Precipitable Water
2023,1,1,0,30,0.8,0,0,0,0.273,76.02,164,0.5,815,1
2023,1,1,1,30,0.30000000000000004,0,0,0,0.272,77.84,149,0.6000000000000001,815,1
2023,1,1,2,30,-0.2,4,0,0,0.27,79.62,154,0.6000000000000001,815,1.1
2023,1,1,3,30,-0.30000000000000004,0,0,0,0.269,79.31,186,0.4,816,1.1
2023,1,1,4,30,-0.2,4,0,0,0.269,78.02,217,0.4,816,1.1
2023,1,1,5,30,0,0,0,0,0.268,76.45,178,0.30000000000000004,816,1.1
2023,1,1,6,30,0.1,4,0,0,0.266,76.64,121,0.30000000000000004,816,1.1
2023,1,1,7,30,-0.1,0,0,0,0.264,78.2,117,0.4,816,1.1
2023,1,1,8,30,-0.2,7,0,0,0.263,79.06,131,0.4,816,1.1
2023,1,1,9,30,-0.2,7,0,0,0.264,79.23,137,0.5,816,1.1
2023,1,1,10,30,-0.2,7,0,0,0.266,79.34,132,0.6000000000000001,816,1.1
2023,1,1,11,30,-0.5,7,0,0,0.268,81.13,127,0.7000000000000001,816,1.1
2023,1,1,12,30,-1,7,0,0,0.269,83,130,0.9,816,1
2023,1,1,13,30,-1.2000000000000002,7,0,0,0.271,82.87,137,0.8,816,1
2023,1,1,14,30,-0.5,6,4,6,0.272,77.48,135,1,817,1
2023,1,1,15,30,1.2000000000000002,7,1,100,0.273,71.27,124,1.3,817,0.9
2023,1,1,16,30,3,7,0,119,0.274,68.07000000000001,119,1.5,817,0.9
2023,1,1,17,30,4.2,7,0,144,0.274,65.07000000000001,117,1.6,817,1
2023,1,1,18,30,4.800000000000001,7,0,215,0.274,63.39,110,1.9000000000000001,816,1
2023,1,1,19,30,4.800000000000001,7,0,324,0.273,65.07000000000001,102,2.3000000000000003,815,1
2023,1,1,20,30,4.4,6,0,216,0.275,69.34,97,2.5,815,1
2023,1,1,21,30,3.5,7,0,183,0.276,74.7,88,2.3000000000000003,816,1.1
2023,1,1,22,30,1.9000000000000001,6,0,39,0.278,82.52,76,2.1,816,1.2000000000000002
2023,1,1,23,30,0.30000000000000004,7,6,15,0.28,87.18,66,1.9000000000000001,817,1.2000000000000002
2023,1,2,0,30,-0.6000000000000001,7,0,0,0.28200000000000003,87.66,54,1.7000000000000002,817,1.2000000000000002
2023,1,2,1,30,-1.2000000000000002,7,0,0,0.28400000000000003,86.57000000000001,37,1.4000000000000001,817,1.2000000000000002
2023,1,2,2,30,-1.6,7,0,0,0.28700000000000003,84.86,17,1.2000000000000002,816,1.2000000000000002
2023,1,2,3,30,-1.7000000000000002,7,0,0,0.289,82.8,182,1,816,1.2000000000000002
2023,1,2,4,30,-1.7000000000000002,6,0,0,0.291,81.65,357,0.9,816,1.2000000000000002
2023,1,2,5,30,-1.8,7,0,0,0.293,81.78,179,0.9,816,1.2000000000000002
2023,1,2,6,30,-2,7,0,0,0.294,82.26,4,0.9,815,1.2000000000000002
2023,1,2,7,30,-2.4000000000000004,6,0,0,0.296,82.91,3,1,815,1.1
2023,1,2,8,30,-2.6,6,0,0,0.298,81.29,4,0.9,815,1.1
2023,1,2,9,30,-2.9000000000000004,7,0,0,0.302,81.42,32,0.8,814,1
2023,1,2,10,30,-3.4000000000000004,4,0,0,0.307,83.14,63,0.9,814,0.9
2023,1,2,11,30,-3.9000000000000004,4,0,0,0.311,84.82000000000001,66,1,813,0.8
2023,1,2,12,30,-4.3,4,0,0,0.313,85.79,56,1.1,813,0.8
2023,1,2,13,30,-4.4,4,0,0,0.314,85,46,1.2000000000000002,813,0.8
2023,1,2,14,30,-4.1000000000000005,4,4,4,0.314,82.55,49,1.5,814,0.8
2023,1,2,15,30,-3.1,4,1,34,0.313,76.88,69,1.8,814,0.8
2023,1,2,16,30,-1.9000000000000001,7,0,96,0.314,74.37,73,1.9000000000000001,814,0.8
2023,1,2,17,30,-1.2000000000000002,7,0,120,0.317,73.05,41,1.7000000000000002,814,0.8
2023,1,2,18,30,-0.7000000000000001,7,0,156,0.32,69.94,9,1.6,812,0.8
2023,1,2,19,30,-0.30000000000000004,7,0,215,0.323,67.64,6,1.6,811,0.7000000000000001
2023,1,2,20,30,-0.30000000000000004,7,0,201,0.325,67.67,20,1.7000000000000002,811,0.7000000000000001
2023,1,2,21,30,-0.9,4,0,210,0.326,70.98,30,1.9000000000000001,811,0.7000000000000001
2023,1,2,22,30,-2.1,7,0,93,0.326,76.73,30,1.9000000000000001,812,0.7000000000000001
2023,1,2,23,30,-3.4000000000000004,7,7,11,0.326,78.88,24,1.7000000000000002,812,0.7000000000000001
2023,1,3,0,30,-4.1000000000000005,7,0,0,0.326,79.54,14,1.7000000000000002,813,0.7000000000000001
2023,1,3,1,30,-4.3,7,0,0,0.326,79.19,184,1.8,813,0.7000000000000001
2023,1,3,2,30,-4.4,6,0,0,0.325,78.78,354,1.9000000000000001,813,0.7000000000000001
2023,1,3,3,30,-4.3,6,0,0,0.325,77.22,349,1.9000000000000001,813,0.7000000000000001
2023,1,3,4,30,-4.7,6,0,0,0.324,77.79,351,1.8,813,0.7000000000000001
2023,1,3,5,30,-5.6000000000000005,6,0,0,0.322,78.60000000000001,349,1.7000000000000002,813,0.6000000000000001
2023,1,3,6,30,-6.300000000000001,7,0,0,0.319,77.42,340,1.6,813,0.6000000000000001
2023,1,3,7,30,-6.6000000000000005,7,0,0,0.317,74.88,336,1.5,814,0.6000000000000001
2023,1,3,8,30,-6.7,4,0,0,0.317,72.37,335,1.2000000000000002,814,0.6000000000000001
2023,1,3,9,30,-7.1000000000000005,0,0,0,0.317,72.15,318,0.9,814,0.5
2023,1,3,10,30,-7.6000000000000005,7,0,0,0.317,71.67,294,0.8,814,0.5
2023,1,3,11,30,-7.800000000000001,4,0,0,0.316,69.31,281,0.9,814,0.5
2023,1,3,12,30,-7.9,4,0,0,0.316,67.14,276,0.9,814,0.5
2023,1,3,13,30,-8,4,0,0,0.315,65.36,275,0.7000000000000001,814,0.5
2023,1,3,14,30,-7.2,4,4,6,0.315,59.63,287,0.5,814,0.5
2023,1,3,15,30,-4.9,8,1,69,0.314,53.36,315,0.8,814,0.5
2023,1,3,16,30,-2.6,6,0,21,0.312,53.1,332,1.3,815,0.5
2023,1,3,17,30,-1,6,0,49,0.31,51.11,336,1.6,815,0.5
2023,1,3,18,30,0.1,9,0,53,0.308,50.51,342,1.6,814,0.5
2023,1,3,19,30,0.8,6,0,59,0.304,50.6,346,1.5,814,0.5
2023,1,3,20,30,1,6,0,133,0.302,51.6,349,1.4000000000000001,814,0.5
2023,1,3,21,30,0.5,7,0,85,0.301,55.03,201,1,814,0.5
2023,1,3,22,30,-1.4000000000000001,7,0,108,0.3,63.34,82,0.7000000000000001,814,0.5
2023,1,3,23,30,-3.8000000000000003,0,2,28,0.3,66.15,162,0.7000000000000001,815,0.5
2023,1,4,0,30,-5.1000000000000005,7,0,0,0.3,65.48,230,1,815,0.5
2023,1,4,1,30,-5.4,7,0,0,0.301,64.61,255,1.5,816,0.5
2023,1,4,2,30,-5.4,7,0,0,0.303,63.01,261,1.8,816,0.4
2023,1,4,3,30,-5.5,7,0,0,0.304,61.730000000000004,265,2,816,0.4
2023,1,4,4,30,-5.7,7,0,0,0.306,60.75,269,2.3000000000000003,816,0.4
2023,1,4,5,30,-5.9,7,0,0,0.308,59.43,270,2.6,816,0.4
2023,1,4,6,30,-6.1000000000000005,4,0,0,0.31,58.56,272,2.9000000000000004,816,0.4
2023,1,4,7,30,-6.1000000000000005,5,0,0,0.312,57.59,275,3.1,816,0.4
2023,1,4,8,30,-6.1000000000000005,4,0,0,0.313,57.52,279,3.1,817,0.4
2023,1,4,9,30,-5.9,7,0,0,0.314,56.79,282,2.9000000000000004,817,0.4
2023,1,4,10,30,-5.9,7,0,0,0.314,56.13,284,2.5,817,0.4
2023,1,4,11,30,-6.1000000000000005,7,0,0,0.315,56.74,284,2.1,818,0.4
2023,1,4,12,30,-6.1000000000000005,7,0,0,0.316,56.550000000000004,282,1.8,818,0.30000000000000004
2023,1,4,13,30,-5.9,8,0,0,0.318,55.88,277,1.6,819,0.30000000000000004
2023,1,4,14,30,-5.2,7,4,9,0.32,52.78,271,1.6,820,0.30000000000000004
2023,1,4,15,30,-3.9000000000000004,0,0,138,0.323,49.1,283,3.2,820,0.30000000000000004
2023,1,4,16,30,-2.6,0,0,305,0.326,45.86,297,4.800000000000001,821,0.30000000000000004
2023,1,4,17,30,-1.3,0,0,440,0.328,43.6,299,5.1000000000000005,821,0.30000000000000004
2023,1,4,18,30,-0.4,0,0,507,0.331,42.62,298,4.9,821,0.30000000000000004
2023,1,4,19,30,0,0,0,513,0.335,43.09,294,4.6000000000000005,821,0.30000000000000004
2023,1,4,20,30,-0.1,0,0,458,0.339,44.51,290,4.3,821,0.30000000000000004
2023,1,4,21,30,-0.9,0,0,346,0.341,47.35,287,3.9000000000000004,822,0.30000000000000004
2023,1,4,22,30,-2.6,0,0,193,0.341,54.49,285,3.3000000000000003,822,0.30000000000000004
2023,1,4,23,30,-4.4,0,0,34,0.337,54.88,287,2.8000000000000003,822,0.2
2023,1,5,0,30,-5.5,0,0,0,0.331,53.09,287,2.4000000000000004,823,0.2
2023,1,5,1,30,-6.2,0,0,0,0.325,53.03,282,2.1,823,0.2
2023,1,5,2,30,-6.9,0,0,0,0.319,53.71,271,1.8,824,0.2
