Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,477448,-,-,-,40.01,-105.26,0,1629,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,Cloud Fill Flag,GHI,Ozone,Relative Humidity,Wind Direction,Wind Speed,Pressure,Precipitable Water
2021,1,1,0,30,-2.2,5,0,0,0.307,56.86,192,1.1,821,0.7000000000000001
2021,1,1,1,30,-2.5,4,0,0,0.308,57.1,349,1.2000000000000002,822,0.6000000000000001
2021,1,1,2,30,-2.6,4,0,0,0.309,56.74,340,1.4000000000000001,822,0.6000000000000001
2021,1,1,3,30,-2.8000000000000003,5,0,0,0.309,56.59,345,1.5,822,0.6000000000000001
2021,1,1,4,30,-3.3000000000000003,5,0,0,0.309,58.59,352,1.5,822,0.6000000000000001
2021,1,1,5,30,-3.8000000000000003,5,0,0,0.308,61.65,354,1.5,822,0.6000000000000001
2021,1,1,6,30,-4.1000000000000005,5,0,0,0.308,65.92,354,1.4000000000000001,823,0.6000000000000001
2021,1,1,7,30,-4.5,8,0,0,0.308,71.13,180,1.3,823,0.6000000000000001
2021,1,1,8,30,-4.800000000000001,8,0,0,0.309,74,7,1.3,823,0.6000000000000001
2021,1,1,9,30,-5,0,0,0,0.311,75.9,5,1.2000000000000002,823,0.6000000000000001
2021,1,1,10,30,-5.1000000000000005,0,0,0,0.312,76.84,177,1.1,823,0.6000000000000001
2021,1,1,11,30,-5.2,0,0,0,0.314,77.41,349,1.2000000000000002,823,0.7000000000000001
2021,1,1,12,30,-5.300000000000001,8,0,0,0.316,78.18,344,1.2000000000000002,824,0.7000000000000001
