Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,477448,-,-,-,40.01,-105.26,0,1629,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,Cloud Fill Flag,GHI,Ozone,Relative Humidity,Wind Direction,Wind Speed,Pressure,Precipitable Water
2022,1,1,0,30,-5.1000000000000005,7,0,0,0.272,81.37,34,2.8000000000000003,809,0.7000000000000001
2022,1,1,1,30,-6,6,0,0,0.273,80.74,49,2.6,810,0.6000000000000001
2022,1,1,2,30,-6.9,7,0,0,0.273,80.07000000000001,66,2.4000000000000004,810,0.6000000000000001
2022,1,1,3,30,-7.800000000000001,6,0,0,0.274,78.16,76,2.1,810,0.6000000000000001
2022,1,1,4,30,-8.5,7,0,0,0.274,75.74,77,1.9000000000000001,810,0.6000000000000001
2022,1,1,5,30,-9.1,7,0,0,0.273,73.94,73,1.8,810,0.5
2022,1,1,6,30,-9.5,7,0,0,0.273,72.05,71,1.8,810,0.5
2022,1,1,7,30,-9.9,7,0,0,0.274,70.95,79,1.9000000000000001,810,0.5
2022,1,1,8,30,-10.3,7,0,0,0.276,69.96000000000001,88,1.9000000000000001,811,0.5
2022,1,1,9,30,-10.9,8,0,0,0.279,69.9,85,1.8,811,0.5
2022,1,1,10,30,-11.4,4,0,0,0.28300000000000003,69.57000000000001,72,1.7000000000000002,811,0.5
2022,1,1,11,30,-12,4,0,0,0.28700000000000003,69.17,63,1.7000000000000002,811,0.4
2022,1,1,12,30,-12.5,7,0,0,0.292,68.3,59,1.7000000000000002,812,0.4
2022,1,1,13,30,-12.8,8,0,0,0.295,67.21000000000001,53,1.6,813,0.4
2022,1,1,14,30,-12.600000000000001,7,4,5,0.297,63.83,50,1.5,813,0.4
2022,1,1,15,30,-11.9,7,1,40,0.298,62.34,47,1.8,814,0.4
2022,1,1,16,30,-11.200000000000001,7,0,119,0.299,62.64,37,2.2,815,0.4
2022,1,1,17,30,-10.700000000000001,7,0,196,0.3,61.660000000000004,26,2.3000000000000003,816,0.30000000000000004
