Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,477448,-,-,-,40.01,-105.26,0,1629,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,Cloud Fill Flag,GHI,Ozone,Relative Humidity,Wind Direction,Wind Speed,Pressure,Precipitable Water
2020,1,1,0,30,-1.7000000000000002,0,0,0,0.33,47.24,264,3.8000000000000003,818,0.4
2020,1,1,1,30,-2.2,0,0,0,0.327,49.47,262,4.2,818,0.5
2020,1,1,2,30,-2.4000000000000004,0,0,0,0.325,49.730000000000004,265,4.6000000000000005,817,0.6000000000000001
2020,1,1,3,30,-2.2,0,0,0,0.325,48.18,271,5,817,0.7000000000000001
2020,1,1,4,30,-2.1,0,0,0,0.325,46.57,273,5.300000000000001,816,0.8
2020,1,1,5,30,-2.3000000000000003,7,0,0,0.326,45.93,272,5.5,816,0.8
2020,1,1,6,30,-2.4000000000000004,7,0,0,0.325,45.44,270,5.7,815,0.9
2020,1,1,7,30,-2.3000000000000003,7,0,0,0.325,45.7,270,6,814,1
2020,1,1,8,30,-2.1,0,0,0,0.324,47.37,271,6.300000000000001,814,1
2020,1,1,9,30,-1.8,0,0,0,0.323,48.89,271,6.800000000000001,813,1
2020,1,1,10,30,-1.5,0,0,0,0.322,48.84,270,6.9,812,0.9
2020,1,1,11,30,-1.3,7,0,0,0.321,49.76,269,6.6000000000000005,811,0.9
2020,1,1,12,30,-1,7,0,0,0.321,51.64,268,6.2,811,0.9
2020,1,1,13,30,-0.6000000000000001,6,0,0,0.321,53.300000000000004,267,5.9,811,1
2020,1,1,14,30,0,7,4,7,0.32,52.86,268,5.800000000000001,811,0.9
2020,1,1,15,30,1.2000000000000002,0,0,150,0.319,49.95,269,6,811,0.9
2020,1,1,16,30,2.8000000000000003,7,2,245,0.319,48.33,272,6.1000000000000005,811,0.9
2020,1,1,17,30,4.3,7,0,204,0.319,48.19,274,5.9,810,0.8
2020,1,1,18,30,5.4,6,0,124,0.319,47.32,277,5.6000000000000005,809,0.8
2020,1,1,19,30,5.800000000000001,6,0,105,0.32,47.28,278,5.2,808,0.8
2020,1,1,20,30,5.1000000000000005,0,0,364,0.321,50.370000000000005,278,4.800000000000001,808,0.7000000000000001
2020,1,1,21,30,3.7,0,0,326,0.322,53.88,278,4.7,809,0.6000000000000001
2020,1,1,22,30,2.4000000000000004,0,3,164,0.325,56.58,276,4.7,809,0.6000000000000001
2020,1,1,23,30,1.4000000000000001,0,2,23,0.328,58.92,274,4.4,809,0.5
2020,1,2,0,30,0.5,0,0,0,0.329,60.69,271,4,809,0.5
2020,1,2,1,30,-0.30000000000000004,0,0,0,0.331,61.92,268,3.6,809,0.5
2020,1,2,2,30,-1,0,0,0,0.335,61.480000000000004,264,3.6,809,0.5
2020,1,2,3,30,-1.4000000000000001,0,0,0,0.339,59.82,263,3.8000000000000003,809,0.5
2020,1,2,4,30,-1.6,0,0,0,0.341,57.63,262,4,809,0.4
2020,1,2,5,30,-1.9000000000000001,0,0,0,0.34500000000000003,56.64,263,4.1000000000000005,809,0.4
2020,1,2,6,30,-2.1,0,0,0,0.34900000000000003,56.15,265,4,809,0.4
2020,1,2,7,30,-2.4000000000000004,7,0,0,0.35100000000000003,56.68,270,3.7,809,0.4
2020,1,2,8,30,-2.6,0,0,0,0.35000000000000003,56.81,279,3.2,810,0.4
2020,1,2,9,30,-2.8000000000000003,0,0,0,0.34700000000000003,56.870000000000005,289,2.7,810,0.5
2020,1,2,10,30,-3,7,0,0,0.34500000000000003,58.04,296,2.3000000000000003,811,0.5
2020,1,2,11,30,-3.4000000000000004,7,0,0,0.343,59.35,301,2.1,811,0.5
2020,1,2,12,30,-3.9000000000000004,7,0,0,0.343,60.63,303,2,812,0.5
2020,1,2,13,30,-4.4,8,0,0,0.343,60.96,299,2,812,0.5
2020,1,2,14,30,-3.6,4,4,6,0.343,54.82,292,2.5,813,0.5
2020,1,2,15,30,-1.3,0,0,153,0.343,48.53,288,2.9000000000000004,814,0.4
2020,1,2,16,30,1.3,0,0,304,0.342,44.04,308,2.8000000000000003,814,0.4
2020,1,2,17,30,3,0,0,419,0.341,42.93,332,2.7,814,0.5
